id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
18716.jpg,Women,Apparel,Topwear,Tops,Black,Fall,2011.0,Casual,Arrow Woman Shanna Black Top
48402.jpg,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012.0,Casual,French Connection Men Cream Printed T-shirt
3811.jpg,Boys,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Disney Kids Boy's Pooh And Tiger Red Kidswear
37934.jpg,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Mineral Women Purple Top
30923.jpg,Women,Apparel,Bottomwear,Skirts,Mustard,Summer,2012.0,Ethnic,Fabindia Women Printed Mustard Skirt
12284.jpg,Men,Apparel,Topwear,Shirts,Maroon,Winter,2011.0,Casual,Genesis Maroon Casual Shirt
7889.jpg,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Casual,Proline Men Grey Track Pants
3875.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Wrangler Men's Trademark Washed Grey T-shirt
59973.jpg,Women,Apparel,Dress,Dresses,Navy Blue,Fall,2012.0,Casual,Avirate Women Navy Blue Dress
27500.jpg,Women,Apparel,Innerwear,Camisoles,Blue,Winter,2015.0,Casual,Jockey Women Blue Camisole
50660.jpg,Men,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Summer,2016.0,Sports,Chromozome Men Black Lounge Pants
8497.jpg,Women,Apparel,Bottomwear,Skirts,Cream,Fall,2011.0,Casual,Forever New Women Cameo Skirt Cream Skirts
6156.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Lee Men's Sheild Black T-shirt
23350.jpg,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016.0,Casual,Crusoe Men Elixir Boxer Assorted Short
8857.jpg,Men,Apparel,Topwear,Shirts,Orange,Fall,2011.0,Casual,Mark Taylor Men Orange Striped Shirt
7211.jpg,Women,Apparel,Topwear,Tunics,Black,Fall,2011.0,Casual,Scullers For Her Women Layered Tunics Black Top
2307.jpg,Women,Apparel,Topwear,Tshirts,Purple,Fall,2010.0,Sports,Nike Women Purple Polo T-shirt
23131.jpg,Boys,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Chhota Bheem Kids Boys Holi Hai White T-shirt
35266.jpg,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2012.0,Casual,Lee Women Kylie Navy Blue Top
31090.jpg,Boys,Apparel,Topwear,Shirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Black Shirt
19403.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,ADIDAS Men Grey T-shirt
2300.jpg,Women,Apparel,Topwear,Tshirts,Pink,Fall,2010.0,Sports,Nike Women Pink Polo T-shirt
30348.jpg,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Dudewala Off White T-shirt
43488.jpg,Men,Apparel,Topwear,Shirts,Beige,Summer,2012.0,Casual,French Connection Men Beige Shirt
59918.jpg,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012.0,Ethnic,Diva Women Multi Coloured Kurta
28711.jpg,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,W Women Printed White Kurta
14749.jpg,Men,Apparel,Topwear,Shirts,Lavender,Fall,2011.0,Formal,Arrow Men Stripes Lavender Shirts
18980.jpg,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,ADIDAS Originals Men Polo Yellow Tshirt
32623.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Sports,Nike Men Miler Grey T-shirt
44668.jpg,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Wills Lifestyle Women Pink Shirt
58495.jpg,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Tonga Women Printed White Top
53419.jpg,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012.0,Ethnic,Alma Women Blue Printed Kurta
44675.jpg,Women,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Casual,Wills Lifestyle Women Yellow Shirt
6575.jpg,Men,Apparel,Topwear,Tshirts,Red,Winter,2011.0,Casual,Inkfruit Men's Baby Tomato Red T-shirt
2783.jpg,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Ediots Men's Bajau Kya Radio Red T-shirt
45561.jpg,Women,Apparel,Topwear,Tops,Pink,Winter,2012.0,Casual,Fila Women Pink Printed Top
26239.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Proline Men Black Printed T-shirt
28959.jpg,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,BIBA Women Ethnic White Kurta
31874.jpg,Women,Apparel,Topwear,Dupatta,Blue,Fall,2012.0,Ethnic,Fabindia Women Blue Dupatta
12665.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Probase Men Check Blue Shirts
51502.jpg,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Women Greenish Blue Jeans
14102.jpg,Women,Apparel,Topwear,Tops,Brown,Fall,2011.0,Casual,Flying Machine Women Solid Brown Tops
17548.jpg,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Formal,Mark Taylor Men Grey & White Striped Shirt
25826.jpg,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Diva Women Printed Brown Kurta
2779.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Ediots   T-shirt
6776.jpg,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Timberland Men's Tipped Pique Polo Red T-shirt
15644.jpg,Men,Apparel,Bottomwear,Shorts,Navy Blue,Winter,2014.0,Sports,Nike Men As Df Crckt Navy Blue Shorts
16035.jpg,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Highlander Men Check White Shirt
54889.jpg,Men,Apparel,Topwear,Sweatshirts,Olive,Summer,2012.0,Casual,Do u speak green Men Olive Sweatshirt
43492.jpg,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,French Connection Men Off White T-shirt
7491.jpg,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2011.0,Sports,"Nike Women's EM Tempo 3.5"" Pink Short"
5154.jpg,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Women's Lip Print White T-shirt
52918.jpg,Women,Apparel,Saree,Sarees,Purple,Summer,2012.0,Ethnic,FNF Purple Sari
54485.jpg,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Hanes Men Pack of Two Premium Bikini Briefs
33745.jpg,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Vero Moda Women Blue Top
44287.jpg,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Indian Terrain Men Purple T-shirt
23140.jpg,Women,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Quechua Women  Fleece Grey Sweatshirt
13345.jpg,Women,Apparel,Bottomwear,Capris,White,Fall,2011.0,Casual,Gini and Jony Kids Girls Solid White Capris
52547.jpg,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Pepe Jeans Women Blue Jeans
11244.jpg,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Flying Machine Women Lowrise Blue Jeans
19815.jpg,Men,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Green Sweatshirt
34331.jpg,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Myntra Men Lost Valley Purple T-shirt
42980.jpg,Men,Apparel,Innerwear,Boxers,Red,Summer,2016.0,Casual,FCUK Red & White Boxers
9593.jpg,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Scullers Men Scul White Shirts
17171.jpg,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Grey Shirt
38959.jpg,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Gini and Jony Boys Printed Navy Blue T-shirt
18750.jpg,Women,Apparel,Topwear,Shirts,Olive,Fall,2011.0,Casual,Arrow Woman Hallie Olive Shirt
46344.jpg,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Locomotive  Men Blue Jeans
7635.jpg,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Sports,Puma Men Black Track Pant
50448.jpg,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Chromozome Men Grey & Orange Pack of 2 Briefs
21887.jpg,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011.0,Ethnic,BIBA Women Thread Work Kurta
31281.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Printed Grey T-shirt
5565.jpg,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Mr.Men Maroon Printed T-shirt
16808.jpg,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,Locomotive Men Check Brown Shirt
6128.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Ducati Black T-shirt
32638.jpg,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Sports,Nike Men Epaulet UV Crew Blue T-shirt
14755.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,Arrow Men Check Red Shirts
29841.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Basics Men Navy Shirt
21022.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Black Coffee Men Blue Slim Fit Shirt
9503.jpg,Men,Apparel,Topwear,Shirts,Peach,Fall,2011.0,Formal,John Miller Men Peach Shirt
22801.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Locomotive Men Blue Check Shirt
32600.jpg,Women,Apparel,Topwear,Tops,Red,Summer,2012.0,Casual,ONLY Women Red Live Love Tube Top
45534.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Fila Men White T-shirt
32466.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men Graphic White T-shirt
22600.jpg,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men White T-shirt
52113.jpg,Women,Apparel,Topwear,Kurtis,Orange,Summer,2012.0,Ethnic,Myntra Women Orange Printed Kurti
19684.jpg,Women,Apparel,Topwear,Tops,Blue,Summer,2011.0,Casual,United Colors of Benetton Women Printed Blue Top
8485.jpg,Women,Apparel,Dress,Dresses,Black,Fall,2011.0,Casual,Forever New Women Porcelain Black Dress
13524.jpg,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Solid Purple Tops
20150.jpg,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Wrangler Men Stampede Black Shirt
30938.jpg,Women,Apparel,Topwear,Kurtis,Red,Summer,2012.0,Ethnic,Fabindia Women Printed Red & Black Kurti
33578.jpg,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2012.0,Casual,Wrangler Men Applique Polo Maroon T-shirt
23141.jpg,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Casual,Quechua Men Warm Fleece Navy Blue Sweatshirt
29823.jpg,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Basics Men Red Checked Shirt
24169.jpg,Women,Apparel,Topwear,Kurtis,Orange,Fall,2011.0,Ethnic,Aurelia Women Orange Printed Kurti
18303.jpg,Women,Apparel,Topwear,Kurtis,Maroon,Fall,2011.0,Ethnic,Aneri Women Kavita Maroon Kurti
13515.jpg,Women,Apparel,Bottomwear,Skirts,Blue,Fall,2011.0,Casual,Palm Tree Kids Girl Washed Blue Skirts
2142.jpg,Men,Apparel,Topwear,Tshirts,Grey,Spring,2011.0,Casual,Basics Men Grey Tshirt
11289.jpg,Men,Apparel,Bottomwear,Jeans,Blue,Spring,2013.0,Casual,Wrangler Men Blue Texas Jeans
6985.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,s.Oliver Men's Denim Dstrct White T-shirt
19162.jpg,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Tshirt
8952.jpg,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Formal,Indigo Nation Men TR Yarn Dyed Black Trousers
33252.jpg,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Printed White T-shirt
40566.jpg,Women,Apparel,Topwear,Kurtas,Burgundy,Summer,2012.0,Ethnic,W Women Burgundy Kurta
18249.jpg,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Printed Red Tshirt
48501.jpg,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,French Connection Women Off White Top
13460.jpg,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,United Colors of Benetton Men Solid Green Shirts
17801.jpg,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Chhota Bheem Kids Boy Power Punch White Tshirt
9422.jpg,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,John Miller Men Blue black stripe Black Shirts
48395.jpg,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,French Connection Men Black Trousers
33297.jpg,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Arrow Sport Men Blue Striped Slim Fit Shirt
34274.jpg,Women,Apparel,Topwear,Dupatta,Off White,Summer,2012.0,Ethnic,Fabindia Women Printed Pink Dupatta
2001.jpg,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Sports,ADIDAS Mens Grey Polo T-shirt
3749.jpg,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Status Quo Men's Sound Off Blue T-shirt
27456.jpg,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Jockey Women White Full-Coverage Bra 1616
41012.jpg,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Pack Of Two White T-shirt
46263.jpg,Women,Apparel,Topwear,Tunics,Black,Summer,2012.0,Casual,109F Women Black Printed Tunic
25504.jpg,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Kids Boys Soccer Blue T-Shirt
7143.jpg,Women,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers For Her Women Light Work Blue Shirts
8550.jpg,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Basics Men Plain Red Polo Tshirts
13296.jpg,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Gini and Jony Kids Boys Printed White Tshirts
22373.jpg,Men,Apparel,Topwear,Shirts,Peach,Fall,2011.0,Casual,Mark Taylor Men Red Striped White Shirt
8901.jpg,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Indigo Nation Men PV stretch Grey Trousers
2400.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010.0,Sports,Puma Navy Blue Men's T-shirt
7186.jpg,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Jealous 21 Women Supper Skinny Zipped Blue Jeans
5884.jpg,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Women Classic Black Top
28044.jpg,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Jockey ELANCE Men Blue Brief 1008
39793.jpg,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,Peter England Men Grey Formal Trousers
52255.jpg,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Crusoe Men Blue Boxer Briefs
3126.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's City's Knight Grey T-shirt
10470.jpg,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Flying Machine Men Grey Tshirts
3913.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Urban Yoga Men's Hush White T-shirt
18614.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Puma Men Team SS Bluenights Navy Tshirts
22326.jpg,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,John Players Men Blue Striped Polo T-Shirt
15134.jpg,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Casual,Arrow Sport Men Solid Brown Trousers
27492.jpg,Women,Apparel,Innerwear,Briefs,Burgundy,Winter,2015.0,Casual,Jockey Women Burgundy Briefs
38825.jpg,Women,Apparel,Topwear,Tops,Magenta,Summer,2012.0,Casual,Latin Quarters Women Magenta & Brown Check Top
31160.jpg,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Printed White Top
52056.jpg,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Myntra Men Purple T-shirt
25396.jpg,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear Vest 403
31908.jpg,Women,Apparel,Innerwear,Briefs,Navy Blue,Summer,2015.0,Casual,Heart 2 Heart Women Navy Blue Briefs H2H-8-2011
5885.jpg,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Ducati Graphic Black T-shirt
13051.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Spykar Men Check Blue Shirts
13297.jpg,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Gini and Jony Kids Boys Printed White Tshirts
12345.jpg,Women,Apparel,Saree,Sarees,Maroon,Spring,2018.0,Ethnic,Xoxo Women Maroon Pure Georgette Solid Ready-to-wear Saree
